year	num_songs	dominant_genre	dominant_genre_count	cluster
1990	2701	Rock	1067	4
1991	3133	Rock	1266	4
1992	3425	Rock	1374	4
1993	3711	Rock	1254	4
1994	4061	Rock	1507	4
1995	4542	Rock	1608	1
1996	4648	Rock	1505	1
1997	5511	Rock	1638	1
1998	5164	Rock	1544	1
1999	6017	Rock	2132	1
2000	13098	Rock	5717	0
2001	13419	Rock	5559	0
2002	14558	Rock	5919	0
2003	15656	Rock	6963	0
2004	15792	Rock	6752	0
2005	17938	Rock	7220	0
2006	18035	Rock	7132	0
2007	17915	Rock	7700	0
2008	17849	Rock	7299	0
2009	17901	Rock	6928	0
2010	17724	Rock	7189	0
2011	18327	Rock	7049	0
2012	20515	Rock	7715	0
2013	20961	Rock	7844	0
2014	21641	Rock	7639	0
2015	21369	Rock	7167	0
2016	20642	Rock	6631	2
2017	25955	Rock	7957	2
2018	28894	Rock	8484	2
2019	29334	Rock	8932	2
2020	24823	Rock	6906	3
2021	14797	Rock	4005	2
2022	19705	Rock	5245	2
