year	avg_energy	num_songs
1990	0.5969722362088107	2701
1991	0.582453175869774	3133
1992	0.6042160759124074	3425
1993	0.5851872002155744	3711
1994	0.6220848592218654	4061
1995	0.6137209666006175	4542
1996	0.6193744507745289	4648
1997	0.604638953819635	5511
1998	0.6250307504453904	5164
1999	0.6460775597972419	6017
2000	0.6830347536036045	13098
2001	0.6760040065802209	13419
2002	0.6851271912419269	14558
2003	0.6920467851494654	15656
2004	0.6837535637031354	15792
2005	0.6756299251254281	17938
2006	0.6855644070917659	18035
2007	0.7004644779402682	17915
2008	0.7101816777242435	17849
2009	0.7057967380593195	17901
2010	0.7173660527702518	17724
2011	0.7164614328586246	18327
2012	0.7142879969095747	20515
2013	0.7064729755259757	20961
2014	0.6996169408206654	21641
2015	0.6908950819551656	21369
2016	0.696218310420502	20642
2017	0.6790234752456167	25955
2018	0.6744527683948179	28894
2019	0.6824930466353015	29334
2020	0.6826312621359278	24823
2021	0.6998389538419924	14797
2022	0.6965772088302442	19705
