year	avg_instrumentalness	num_songs
1990	0.09144815280266545	2701
1991	0.11014839796680474	3133
1992	0.10109522782773739	3425
1993	0.11736993636216642	3711
1994	0.11826540223590228	4061
1995	0.11812045449141323	4542
1996	0.10786286434380385	4648
1997	0.10127146124659778	5511
1998	0.09946757000193651	5164
1999	0.10414578483297349	6017
2000	0.13783833751030608	13098
2001	0.12539681686191287	13419
2002	0.13089562184915474	14558
2003	0.12496535992399045	15656
2004	0.12893188367021238	15792
2005	0.11299801340450437	17938
2006	0.11603297685223203	18035
2007	0.1205419018152392	17915
2008	0.12414387256540983	17849
2009	0.12538208423551755	17901
2010	0.12841932240352114	17724
2011	0.11605796330441362	18327
2012	0.12226429396539171	20515
2013	0.12142517650446195	20961
2014	0.11380358027170619	21641
2015	0.11033368776451875	21369
2016	0.10765835382860162	20642
2017	0.09716380473203635	25955
2018	0.09224252573475493	28894
2019	0.09821809377752702	29334
2020	0.09695647258228327	24823
2021	0.09449133011826735	14797
2022	0.0805774074909919	19705
