year	avg_liveness	num_songs
1990	0.21667537948907828	2701
1991	0.2112279604213218	3133
1992	0.23126291970802895	3425
1993	0.24339051468606834	3711
1994	0.21018965771977385	4061
1995	0.2200476662263318	4542
1996	0.2196360154905338	4648
1997	0.22133297042279076	5511
1998	0.22067350890782414	5164
1999	0.2320931194947651	6017
2000	0.22956446022293578	13098
2001	0.22368729413518412	13419
2002	0.23689095754911457	14558
2003	0.23572713336739917	15656
2004	0.23900948581560225	15792
2005	0.2375497641877589	17938
2006	0.23345782256723224	18035
2007	0.23986220485626455	17915
2008	0.23247881225838998	17849
2009	0.23098151499916295	17901
2010	0.2326218364928919	17724
2011	0.2375502209854314	18327
2012	0.23318335851815855	20515
2013	0.23125835122369906	20961
2014	0.2253327600388145	21641
2015	0.22199099630305538	21369
2016	0.22112956593353264	20642
2017	0.21861353496435967	25955
2018	0.20828159825569337	28894
2019	0.21342432671984715	29334
2020	0.20956161624299952	24823
2021	0.20162964790160154	14797
2022	0.20046862471453886	19705
