year	total_lonely_words	avg_lonely_per_song
2022	14708	0.7464095407257041
2021	10556	0.7133878488882882
2020	16916	0.6814647705756758
2019	20623	0.7030408399809095
2018	19774	0.6843635356821486
2017	17821	0.686611442881911
2016	13341	0.6463036527468269
2015	13011	0.608872666011512
2014	13458	0.6218751444018299
2013	12704	0.6060779542960737
2012	11922	0.5811357543261029
2011	10430	0.5691056910569106
2010	10555	0.5955201986007673
2009	10289	0.5747723590860846
2008	9936	0.5566698414477002
2007	10740	0.5994976276862964
2006	10489	0.5815913501524813
2005	10442	0.5821161779462594
2004	9586	0.607016210739615
2003	8913	0.5693025038323966
2002	8062	0.5537848605577689
2001	7489	0.5580892763991355
2000	6913	0.5277905023667736
1999	3524	0.5856739238823334
1998	2983	0.5776529821843532
1997	3128	0.5675920885501724
1996	2455	0.528184165232358
1995	2653	0.5841039189784236
1994	2633	0.6483624722974637
1993	2111	0.5688493667475074
1992	2202	0.6429197080291971
1991	1782	0.5687839131822534
1990	1729	0.6401332839689005
