year	avg_val	normalized_lonely
2022	1.007155544278102	0.9820102332701485
2021	1.013245928228695	1.0
2020	0.9348990855255207	0.7685792167317733
2019	0.9523419922274494	0.8201020476737712
2018	0.9273205509794421	0.7461937530657593
2017	0.9206318628395299	0.7264367163432996
2016	0.8869295610890418	0.6268869093575984
2015	0.8284898685010997	0.45426783542894367
2014	0.8210341481447253	0.43224514012725884
2013	0.8171842946424311	0.4208734487836236
2012	0.7884962222763832	0.33613466482829507
2011	0.76842909368691	0.27686041131798805
2010	0.8002143985556308	0.37074779586782797
2009	0.7663259035808055	0.27064801162294627
2008	0.7567370721048798	0.24232453598279968
2007	0.7946971811331287	0.35445104754557794
2006	0.7654006099251456	0.2679148806484511
2005	0.7590032333593488	0.24901831960479207
2004	0.7930597771023303	0.3496144860421421
2003	0.7532575370464998	0.23204669068825098
2002	0.7191921967303201	0.1314245409465409
2001	0.745733661226619	0.20982267788346773
2000	0.6903344021988089	0.046184431920356914
1999	0.7473824164866213	0.2146927686302373
1998	0.7430286599535244	0.20183264929057668
1997	0.7272727272727273	0.1552927996130888
1996	0.6746987951807228	0.0
1995	0.7688243064729194	0.2780277902364012
1994	0.7911844373307068	0.34407511031404275
1993	0.7272972244677984	0.15536515939014728
1992	0.8043795620437956	0.383050849361932
1991	0.7047558250877753	0.0887824086308048
1990	0.7789707515734913	0.30799834414191624
