year	total_love_words	total_lust_words	avg_love_per_song	avg_lust_per_song
2022	62943	22021	3.1942654148693226	1.1175336209083988
2021	41781	14080	2.823612894505643	0.9515442319389066
2020	65989	27207	2.658381339886396	1.096039962937598
2019	85625	30283	2.918967750732938	1.0323515374650576
2018	86619	29143	2.9978196165293833	1.0086177060981518
2017	74057	25489	2.853284530918898	0.9820458485840878
2016	55273	19348	2.677695959693828	0.9373122759422536
2015	55744	17275	2.6086386822031917	0.8084140577472039
2014	57745	17615	2.668314772884802	0.8139642345547803
2013	53833	16799	2.568245789800105	0.8014407709555842
2012	50079	14920	2.441091883987326	0.7272727272727273
2011	45819	12386	2.5000818464560486	0.6758334697440934
2010	44506	12431	2.5110584518167456	0.7013653802753329
2009	43576	12036	2.4342774146695714	0.6723646723646723
2008	43418	11476	2.4325172278559024	0.6429491848282817
2007	42298	12077	2.3610382361149873	0.6741278258442646
2006	42530	12021	2.358192403659551	0.6665372886054893
2005	43643	11662	2.432991414873453	0.6501282194224551
2004	37868	9920	2.3979229989868287	0.6281661600810537
2003	38327	11198	2.448071027082269	0.7152529381706694
2002	36027	9632	2.4747218024453908	0.6616293446902047
2001	33978	10060	2.5320813771518	0.7496832848945525
2000	31261	10274	2.3867002595816156	0.7843945640555811
1999	16187	5065	2.6902110686388565	0.8417816187468838
1998	13673	4172	2.647753679318358	0.8079008520526724
1997	14907	4068	2.7049537289058248	0.7381600435492651
1996	13210	3927	2.8420826161790016	0.8448795180722891
1995	12224	3759	2.6913254073095554	0.8276089828269485
1994	11367	2922	2.799064269884265	0.7195272100467865
1993	10928	2947	2.9447588251145245	0.7941255726219348
1992	9697	2746	2.8312408759124086	0.8017518248175183
1991	9471	2108	3.022981168209384	0.6728375359080754
1990	7841	1959	2.902998889300259	0.7252869307663828
