year	avg_danceability	num_songs
1990	0.5324092188078497	2701
1991	0.5274352697095434	3133
1992	0.5237654890510949	3425
1993	0.5403953920776079	3711
1994	0.5256708938685047	4061
1995	0.5298603478643781	4542
1996	0.5397265060240959	4648
1997	0.5458275993467606	5511
1998	0.5426936676994587	5164
1999	0.5362689047698179	6017
2000	0.5125352420216827	13098
2001	0.5177387212161866	13419
2002	0.5142777579337798	14558
2003	0.5082698901379672	15656
2004	0.5090844351570427	15792
2005	0.5084013936893781	17938
2006	0.5079930856667609	18035
2007	0.5070403963159373	17915
2008	0.5057026275981832	17849
2009	0.5113777721914948	17901
2010	0.5069133096366503	17724
2011	0.5050876029901245	18327
2012	0.5039666585425325	20515
2013	0.5189691283812833	20961
2014	0.5185361027678957	21641
2015	0.5249564228555402	21369
2016	0.5324420065885074	20642
2017	0.5439269736081673	25955
2018	0.5543090399390841	28894
2019	0.5519590645667143	29334
2020	0.5621154252104908	24823
2021	0.561144427924578	14797
2022	0.5577537274803345	19705
