year,votes,votes_pm1,signals
1990,0,1,
1991,1,2,joy (emotion)
1992,1,3,lust
1993,1,5,anger (emotion)
1994,3,5,mood K-Means clusters; valence×energy change-points; love words
1995,1,7,genre K-Means clusters
1996,3,5,mood K-Means clusters; danceability; loneliness
1997,1,5,anger (emotion)
1998,1,3,mood K-Means clusters
1999,1,10,fear (emotion)
2000,8,11,mood K-Means clusters; valence×energy change-points; genre K-Means clusters; danceability; love words; joy (emotion); anger (emotion); love (emotion)
2001,2,12,duration; anger (emotion)
2002,2,7,energy (Pettitt); lust
2003,3,6,danceability; loneliness; sadness (emotion)
2004,1,4,anger (emotion)
2005,0,3,
2006,2,4,valence (Pettitt); love (emotion)
2007,2,4,mood K-Means clusters; valence×energy change-points
2008,0,2,
2009,0,0,
2010,0,0,
2011,0,2,
2012,2,6,mood K-Means clusters; valence×energy change-points
2013,4,8,danceability; loneliness; love words; lust
2014,2,6,liveness (Pettitt); joy (emotion)
2015,0,8,
2016,6,7,genre K-Means clusters; danceability; duration; loneliness; lust; love (emotion)
2017,1,9,love words
2018,2,3,danceability; duration
2019,0,5,
2020,3,6,genre K-Means clusters; duration; love words
2021,3,10,genre K-Means clusters; loneliness; anger (emotion)
2022,4,7,mood K-Means clusters; love words; lust; joy (emotion)
